flag,description,image,difficult,id,name,ingredients,steps,cleaned_ingredients,times
recipes,"Tuck into a super-healthy veggie dinner that's packed with flavour and freshness. We've topped a creamy, zesty coleslaw with pan-fried golden halloumi slices",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/440-400-cumin-spiced-halloumi-with-corn-and-tomato-slaw-d7170ef.jpg,Easy,2cb0b928-7bf6-4139-be09-6d8f99b29536,Cumin-spiced halloumi with corn & tomato slaw,"['1 lime zested and juiced', '1 tsp rapeseed oil', '1 tsp fresh thyme leaves', '¼ tsp turmeric', '¼ tsp cumin seeds', '1 tbsp finely chopped coriander', '1 garlic clove finely grated', '100g halloumi thinly sliced', '1 lime zested and juiced', '3 tbsp bio yogurt', '3 tbsp finely chopped coriander', '1 red chilli deseeded and chopped', '160g corn cut from 2 fresh cobs', '1 red pepper deseeded and chopped', '100g fine green beans blanched trimmed and halved', '200g cherry tomatoes halved', '1 red onion halved and finely sliced', '320g white cabbage finely sliced']","['Mix the lime zest and juice with the oil, thyme, turmeric, cumin, coriander and garlic together in a bowl. Add the halloumi and carefully turn it until coated – take care as it breaks easily.', 'To make the slaw, mix the lime juice and zest, yogurt, coriander and chilli together, then stir in the corn, red pepper, beans, tomatoes, onion and cabbage.', ""Heat a large non-stick frying pan or griddle pan and fry the cheese in batches for 1 min each side. Serve the slaw on plates with the halloumi slices on top. If you're cooking for two people, serve half of the halloumi and slaw and chill the rest for lunch another day']","['lime', 'cumin', 'thyme', 'cherry', 'green', 'clove', 'pepper', 'turmeric', 'corn', 'coriander', 'chilli', 'cobs', 'beans', 'oil', 'cabbage', 'onion', 'garlic', 'cut', 'white', 'tomatoes', 'yogurt']","{'Preparation': '10 mins', 'Cooking': '5 mins'}"
recipes,"This affordable dish featuring slightly salty, herby halloumi is a great meat free meal. Any leftovers make a great take-to-work lunch for the next day",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/oregano-halloumi-with-orzo-salad-5adba3e.jpg,Easy,5d3fe7f5-dac1-4cdd-9e3d-e67f99fb25f9,Oregano halloumi with orzo salad,"['350g orzo', '15g pack oregano leaves picked larges ones roughly chopped', '3 tbsp olive oil', '250g halloumi sliced', '200g plum cherry tomatoes halved', 'handful pitted black olives chopped', '140g tub fresh pesto']","['Bring a large pan of salted water to the boil and cook the orzo following pack instructions. Meanwhile, mix the chopped oregano in a small bowl with the oil and brush some over the halloumi. Heat a large, non-stick frying pan and cook the halloumi for a few mins each side until golden and soft.' 'Drain the cooked orzo and mix with the tomatoes, olives and pesto. Season to taste. Spoon onto a serving plate and top with the halloumi. Drizzle over any remaining oregano oil and scatter over the leaves.']","['olive', 'olives', 'plum', 'oil', 'oregano', 'tomatoes', 'cherry', 'orzo', 'pesto']","{'Preparation': '10 mins', 'Cooking': '8 mins'}"
recipes,Spend a weekend afternoon making this classic beef and ale pie with porcini mushrooms and homemade pastry. It's even better made a couple of days in advance.,https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-194484_12-d5cdc2d.jpg,Difficult,1f26f7f8-4086-48ba-988c-d3daf6a35c50,"Steak, ale & mushroom pie","['small handful dried porcini mushrooms (about 10g) – not essential but very tasty', '2 tbsp vegetable oil', '1kg braising steak (buy this as a whole piece and cut it yourself into large chunks)', '2 large onions roughly chopped', '4 large carrots chopped into large chunks', '2 tsp golden caster sugar', '4 tbsp plain flour', '300ml dark ale', '2 beef stock cubes mixed with 400ml boiling water', 'small bunch each thyme bay leaf and parsley tied together', '200g smoked bacon lardons or chopped rashers', '200g chestnut mushrooms halved', '650g plain flour plus extra for dusting', '250g cold butter diced plus extra for greasing', '1 egg yolk beaten to glaze']","['If you’re using the porcini mushrooms, cover 10g of mushrooms in boiling water for 20 mins, then squeeze out but keep the soaking water.' 'Heat the oven to 160C/140C fan/gas 3. Heat 1 tbsp vegetable oil in a large casserole dish, brown 1kg large chunks of braising steak really well in batches, then set aside.' 'Add 2 large onions, roughly chopped, and 4 large carrots, chopped into large chunks, to the pan. Add a drizzle more vegetable oil, then cook on a low heat for 5 mins until coloured.' 'Add the soaked porcini mushrooms, sizzle for 1 min more, then scatter over 2 tsp golden caster sugar and 4 tbsp plain flour, stirring until the flour turns brown.' 'Tip the braising steak and any juices back into the pan and give it all a good stir.' 'Pour over 300ml dark ale, 2 beef stock cubes mixed with 400ml boiling water and the porcini mushroom soaking liquid, discarding the last few drops.' 'Season the stew, tuck in a small tied-together bunch of thyme, bay leaf and parsley, and bring everything to a simmer.' 'Cover with a lid and place in the oven for about 2 hrs, until the braising steak is really tender.', 'While the stew is cooking, heat a drop more vegetable oil in a frying pan .' 'Turn up the heat, add 200g halved chestnut mushrooms and cook for 4 mins until golden. Remove from the heat and, when the stew is cooked, stir them through.' 'Leave everything to cool completely – better still, make this up to 2 days in advance and keep it in the fridge as the pie will be better if the filling is fridge-cold when added. Can also be frozen for up to 3 months and defrosted when needed.' 'Make the pastry up to 2 days before you want to assemble the pie. Crumble 650g plain flour and 250g cold diced butter, together with a generous pinch of sea salt until completely combined, then add up to 200ml ice-cold water to make a soft dough. This can be done in a food processor if you want.' 'Knead the pastry, then wrap in cling film and leave to rest in the fridge for at least 1 hr. The pastry can be made up to 2 days ahead and kept in the fridge or frozen for up to a month.' 'When you want to make the pie, heat oven to 220C/200C fan/gas 7 and place a flat baking tray in the oven. Heavily grease a 24-28cm pie dish and dust well with flour.' 'Cut a third off the pastry and set aside. Roll out the pastry to a thickish round that will easily line the pie dish with an overhang, then line the tin.' 'Add the braising steak to the dish using a slotted spoon so some gravy is left in the container, as you don’t want too much sauce in the pie. You want the filling to be slightly higher than the rim of the dish. If you have a bit too much, set it aside.' 'Roll out the remaining pastry to a thick round big enough to cover the dish. Brush the edges of the pastry in the dish with 1 beaten egg yolk, then cover with the pastry lid.' 'Trim the edges, crimp the pastry, then re-roll your trimmings to make a decoration, for example, pastry leaves. Brush the top heavily with egg. Make a few little slits in the centre of the pie, place on the hot baking tray.' 'Bake for 40 mins until golden. Leave the pie to rest for 10 mins while you heat up the gravy left in the container. Serve the pie at the table with a jug of gravy and a big pile of greens.']","['oil', 'chestnut', 'piece', 'vegetable', 'glaze', 'lard', 'water', 'bacon', 'flour', 'steak', 'parsley', 'ale', 'beef', 'mushrooms', 'stock', 'butter', 'yolk', 'cut', 'onions', 'egg', 'sugar', 'thyme', 'carrots']","{'Preparation': '1 hr', 'Cooking': '3 hrs'}"
recipes,"Start your morning with these indulgent chocolate pancakes. Top with cream and berries, if you like – they're also great for dessert",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/chocolate-pancake-0774dff.jpg,Easy,a2366186-17fe-44e8-9503-ffe37578a1ba,Chocolate pancakes,"['225g self-raising flour', '50g cocoa powder sieved', '1 tsp baking powder', '1 tbsp caster sugar', '2 large eggs', '400ml whole milk', '100g dark chocolate chips', '1 tbsp vegetable oil', '50g unsalted butter cubed', '300ml double cream', '2 tbsp icing sugar', '1 tsp vanilla paste', 'mixed berries (optional)', 'maple syrup (optional)']","['Tip the flour, cocoa powder, baking powder and sugar into a large bowl with a small pinch of salt. Add the eggs and whisk until smooth. Gradually whisk in the milk until you have a smooth batter, then mix in the chocolate chips.' Heat a splash of the oil and a little of the butter in a non-stick frying pan until sizzling. Cook the pancakes, using 2 tbsp batter for each, for 2 mins until bubbles start to form on the surface. Flip and cook for 2 mins more (you'll need to do this in batches). Keep the pancakes warm in a low oven while you cook.  'To serve, whip the cream with the icing sugar and vanilla until thick. Top the pancakes with the whipped cream, berries and maple syrup, if using.']","['icing', 'butter', 'milk', 'syrup', 'oil', 'paste', 'flour', 'chocolate', 'vegetable', 'berries', 'vanilla', 'chips', 'eggs', 'cream', 'sugar', 'cocoa']","{'Preparation': '10 mins', 'Cooking': '20 mins'}"
recipes,"Enjoy this veggie pesto pasta salad with cucumber, peas, cherry tomatoes and basil for an easy family meal. It's great for a packed lunch or summery picnic",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/pasta-pesto-salad-237d912.jpg,Easy,2eb91edf-06c5-4df6-bd8d-2f46cede0e02,Pesto pasta salad,"['400g mini pasta shapes', '200ml crème fraîche', '4 tbsp fresh pesto', '½ cucumber, cut into small cubes', '16 cherry tomatoes, cut into quarters, or halved', '200g frozen peas, cooked and chilled', 'handful basil leaves']","['Cook the pasta for 10 mins in salted boiling water until al dente, drain, then tip into a bowl. Stir in the crème fraîche followed by the pesto, then leave to cool.', 'When the pasta is cool, stir in the cucumber, tomatoes and peas followed by the basil leaves. Season if it needs it, and tip into a container to transport it.']","['pasta', 'cucumber', 'tomatoes', 'cherry', 'peas', 'basil', 'pesto', 'cut']","{'Preparation': '10 mins', 'Cooking': '12 mins'}"
recipes,"Cutting back on meat? Try jackfruit as an alternative. This vegan bolognese not only tastes delicious, but it counts as a whopping five of your 5-a-day",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/vegan-bolognese-b6f2686.jpg,Easy,c21417c9-ae65-4763-b9ce-714ec7811fd2,Jackfruit bolognese with vegan parmesan,"['1 tbsp rapeseed oil', '320g carrots (3 medium), finely chopped', '4 celery sticks (320g), finely chopped', '4 garlic cloves, finely grated', '410g can jackfruit in water, drained and finely chopped', '100g red lentils', '3 tbsp tomato purée', '4 tsp vegetable bouillon powder (check it’s vegan)', '1 tbsp chopped thyme', '325g wholemeal spaghetti', 'chopped parsley, to serve (optional)', '40g cashews', '4 tsp nutritional yeast', '1 tsp garlic granules']","['Heat the oil in a large non-stick pan and fry the carrots, celery and garlic for 10 mins, stirring every now and then.', 'Meanwhile, make the vegan parmesan. Tip the cashews, nutritional yeast and garlic granules into a food processor and blitz to fine crumbs. Add a little salt, if needed, and set aside.', 'Tip the jackfruit into the veg mix with the lentils, 700ml water, the tomato purée, bouillon powder and thyme, then cover and cook for 25 mins. Add a little more water if needed – it should be pulpy.', 'Meanwhile cook half the spaghetti, following pack instructions, until al dente. If following the Healthy Diet Plan toss with half the sauce, divide between two bowls and sprinkle with half of the vegan parmesan and parsley, if using. The sauce will keep, covered, in the fridge for up to 3 days, or in the freezer for up to 3 months.']","['garlic', 'lentils', 'water', 'bouillon', 'parsley', 'oil', 'celery', 'cashews', 'carrots', 'thyme', 'jackfruit', 'spaghetti', 'sticks', 'vegetable', 'cloves', 'tomato']","{'Preparation': '10 mins', 'Cooking': '40 mins'}"
recipes,"Enjoy the spicy, rich flavours of tikka masala with this family-friendly lighter version that's both healthy and gluten-free. It's a guaranteed crowd-pleaser",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/healthy-tikka-masala-bc7288a.jpg,Easy,9d8aa036-5934-44fe-84bc-5963593b65ac,Healthy tikka masala,"['1 large onion, chopped', '4 large garlic cloves', 'thumb-sized piece of ginger', '2 tbsp rapeseed oil', '4 small skinless chicken breasts, cut into chunks', '2 tbsp tikka spice powder', '1 tsp cayenne pepper', '400g can chopped tomatoes', '40g ground almonds', '200g spinach', '3 tbsp fat-free natural yogurt', '½ small bunch of coriander, chopped', 'brown basmati rice, to serve']","['Put the onion, garlic and ginger in a food processor and whizz to a smooth paste.', 'Heat 1 tbsp of the oil in a flameproof casserole dish over a medium heat. Add the onion mixture and fry for 15 mins. Tip into a bowl and wipe out the pan.', 'Add the remaining oil and the chicken and fry for 5-7 mins, or until lightly brown. Stir in the tikka spice and cayenne and fry for a further minute. Tip the onion mixture back into the pan, along with the tomatoes and 1 can full of water. Bring to the boil, then reduce to a simmer and cook, uncovered, for 15 mins. Stir in the almonds and spinach and cook for a further 10 mins. Season, then stir though the yogurt and coriander. Serve with brown rice.']","['garlic', 'chicken', 'spinach', 'yogurt', 'ginger', 'oil', 'breasts', 'cayenne', 'cut', 'rice', 'onion', 'spice', 'pepper', 'tomatoes', 'cloves', 'piece', 'coriander', 'almonds']","{'Preparation': '10 mins', 'Cooking': '55 mins'}"
recipes,"Enjoy moreish sour cream pancakes with our Seville orange, vanilla & cardamom marmalade for a lovely, bittersweet flavour. An indulgent breakfast or dessert",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sour-cream-crepes-b9b23f8.jpg,Easy,753353ad-652d-49c4-a5bc-bd638c986b97,Sour cream crêpes with Seville orange marmalade & amaretto sauce,"['140g plain flour or white spelt flour', '1 tsp caster sugar, plus a little extra for dusting', '2 eggs', '200ml sour cream', '30g unsalted  butter, melted and cooled, plus extra for greasing', '1 tsp cornflour', '200ml freshly squeezed orange juice', '1 tbsp Seville orange marmalade', '1 tbsp amaretto', '½  lemon, juiced', '10g unsalted butter, cubed', 'toasted flaked almonds, to serve']","['To make the pancakes, sift the flour into a bowl with a small pinch of salt and sugar and make a well in the middle. Crack the eggs into the well and whisk them into the flour. Mix the sour cream with 150ml water and pour this in too, whisking to incorporate until you have a smooth batter the consistency of double cream – add a splash more water or milk if needed. Leave to rest for 30 mins.', 'For the sauce, whisk the cornflour with the orange juice until smooth. Warm it in a pan, stirring to thicken, for around 2 mins. Add the marmalade, amaretto and lemon juice and cook for a few mins more. Gradually add the butter, whisking until you have a glossy sauce.', 'Stir the melted butter into the batter, then grease a non-stick pan and place over a high heat. Stir the batter, then ladle some into the pan. Swirl it around the pan and cook until it slips away from the pan when you shake it (a couple of mins). Use a spatula to flip the pancake and cook the other side until it comes away and is golden and caramelised in patches. Remove to a plate and keep warm, either covered in foil or in a low oven. Repeat with the rest of the batter until you have a pile of pancakes. Dust each one with a little caster sugar and top with the marmalade amaretto sauce. Fold into four, top with a bit more sauce, scatter over the toasted almonds and serve.']","['sour', 'white', 'orange', 'amaretto', 'lemon', 'eggs', 'cream', 'almonds', 'butter', 'sugar', 'juice', 'flour', 'marmalade']","{'Preparation': '15 mins', 'Cooking': '15 mins'}"
recipes,"This traditional Italian ice cream bar is the perfect solution for an effortless frozen, creamy dessert",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/recipe-image-legacy-id-931464_10-af3cf9f.jpg,Easy,b247c40e-5ddd-40b1-af4a-1c9b4f7eeba7,"Chocolate, pistachio & nougat semifreddo","['butter, for the tin', '75g golden caster sugar', '4 medium eggs', '250g dark chocolate, finely chopped', '450ml double cream', '140g hard  nougat or torrone, chopped into 0.5cm chunks', '50g pistachio, roughly chopped']","['Butter and line a 900g/2lb loaf tin with cling film. Bring a pan of water to a gentle simmer. Put the sugar and eggs in a heatproof bowl, then place over the simmering water and whisk until pale, thick and doubled in volume. Remove from the heat, plunge the bottom of the bowl into cold water and continue whisking until the mixture is cool.', 'Melt the chocolate in the microwave on Low, stir, then fold into the egg mixture. Whip the cream to soft peaks and fold into the chocolate egg mixture with the nougat and pistachios.', 'Pour the mixture into the loaf tin, smooth the surface with a spoon, then cover and freeze until firm. This can be done up to 2 weeks ahead. To serve, turn out onto a serving dish, remove the cling film and leave in the fridge for 15 mins to soften slightly before slicing.']","['butter', 'nougat', 'pistachio', 'chocolate', 'eggs', 'cream', 'sugar']","{'Preparation': '25 mins', 'Cooking': '5 mins'}"
recipes,"This Pakistani curry has a deep purple hue and is flavoured with fragrant cinnamon, cumin and coriander",https://images.immediate.co.uk/production/volatile/sites/30/2020/08/beef-beetroot-bded487.jpg,Easy,c86f6a17-199f-4733-85e6-2d41d86040f5,Slow-cooked beetroot & beef curry (Chukandar Gosht),"['3-4 tbsp corn oil or  sunflower oil', '1 black  cardamom pod (preferable) or 3 green cardamom pods', '2.5cm piece of  cinnamon', '1 tsp cumin seeds', '1 tsp coriander seeds', '2 medium red onions, sliced', '1 tsp grated garlic', '1 tsp grated ginger', '2 medium tomatoes, chopped', '1 tsp red  chilli powder', '450g stewing beef, cut into 2.5cm chunks', '350g raw beetroot, grated', 'small pack  coriander leaves', '1 green chilli, chopped', 'squeeze of ½  lime', 'naan bread or cooked basmati rice']","['Using a large, non-stick lidded wok or saucepan, heat the oil over a medium flame, add the cardamom, cinnamon, cumin and coriander seeds. Once the spices start to sizzle, add the onions and stir-fry until light golden brown.', 'Add the garlic and ginger, and cook for 1 min until it no longer smells raw. Add a splash of water if the garlic and ginger start to stick to the pan, then add the tomatoes and cook until soft.', 'Add 1 tsp salt, red chilli powder and the beef, turn up the heat and stir-fry until the meat is sealed on all sides. Reduce the heat to medium-low, cover loosely and cook for about 10 mins.', 'Turn up the heat and add the grated beetroots. Stir-fry for a few mins, then cover the pan, reduce the heat and cook for 1 hr 15 mins or until the meat is tender. Stir from time to time and add a little water if the curry becomes dry.', 'The finished dish should be a thick mushy curry with chunky, tender beef pieces and softened beetroots. Sprinkle with the coriander leaves and green chilli; add a squeeze of lime, and serve with naan or basmati rice.']","['oil', 'bread', 'cardamom', 'piece', 'corn', 'ginger', 'cinnamon', 'naan', 'beetroot', 'lime', 'beef', 'cut', 'green', 'onions', 'rice', 'tomatoes', 'garlic', 'coriander', 'chilli', 'cumin']","{'Preparation': '15 mins', 'Cooking': '1 hr and 40 mins'}"
